mmsi,x,y,cog,sog,time,colreg_compliant,distance_risk_of_collision,distance_risk_of_collision_front,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,stands_on_correct,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,is_risk_of_collision,situation_started,will_give_way,is_pre_ample_time,safe_distance,safe_distance_to_midpoint,gives_way_correct,stand_on_role,change_in_course_port,change_in_course_starboard,change_in_speed_lower,change_in_speed_higher,mean_initial_course,max_initial_course,mean_initial_speed,max_initial_speed,
258217000,19036.1,4000.56,4.87994,5.1,2040,0.898462,0,0,0.97541,0.000775899,0.0218007,0.274281,0.87678,0,0.000377151,1.78212e-05,0.999262,0.000343011,0.23656,0.759009,0.0044301,0.999955,0.9996,0,1,1,1,0.999982,0.763043,0.00623833,0.116791,-0.000688788,-0,-82.555,-80,5.7764,5.76,
258265000,20444.7,7646.49,4.43314,6.1,2040,0.978886,0,0,0.808007,0.000201194,0.618471,0.184889,0.454463,0,0.0011988,0.000237134,0.00176539,0.996799,0.0511142,0.938599,0.0102865,0.998837,0.996547,0,1,1,1,0.998801,0.0120519,0.384605,0.160932,-0,-0,-97.0767,-90,7.06091,7.2,
258217000,19058.2,3846.38,4.92008,5,2100,0.873381,0,0,0.979464,5.07768e-05,0.0194115,0.409426,0.58642,0,0.000835919,1.57663e-05,0.99878,0.000368221,0.334785,0.659301,0.00591434,0.996238,0.999311,0,1,1,1,0.999984,0.664665,0,0.409426,-0.00415359,-0,-83.8364,-80,5.77244,5.76,
258265000,20398.3,7464.13,4.45059,6.2,2100,0.978627,0,0,0.80813,0.000211326,0.617539,0.18374,0.44347,0,0.000424746,0.000750258,0,0.998825,0.0537874,0.936055,0.0101579,0.999921,0.99854,0,1,1,1,0.999575,0.0101579,0.39575,0.16078,-0,-0,-97.0915,-90,7.06323,7.2,
258217000,19080.3,3694.03,4.82933,5.1,2160,0.72384,0,0,0.9741,0.000800415,0.0235446,0.694892,0.644954,0,0.000711239,3.42221e-05,0.999254,7.18189e-07,0.5035,0.248365,0.248135,0.999984,0.999883,0,1,1,1,0.999966,0.495836,0.0103421,0.342482,-0.00458383,-0,-86.3049,-90,5.77999,5.76,
258265000,20319.7,7282.29,4.27257,6.3,2160,0.979417,0,0,0.810793,0.000196344,0.851603,0.181189,0.0392121,0,0.000146317,0,0,0.999854,0.0530862,0.945668,0.00124584,0.999669,0.999967,0,1,1,1,0.999854,0.00124584,0.820114,0.140674,-0,-0,-96.9558,-90,7.06088,7.2,
258217000,19102.4,3530.79,4.86074,5.3,2220,0.830948,0,0,0.95461,0.00101696,0.0255191,0.144767,0.965594,0,0.000943164,0,0.999055,1.43833e-06,0.0191245,0.973473,0.0074021,0.999999,0.999999,0,1,1,1,0.999057,0.980065,0.0132438,0.0187997,-0.00376752,-0,-81.0223,-80,5.78201,5.76,
258265000,20253.3,7116.11,4.28827,6,2220,0.980676,0,0,0.805151,0.000204331,0.853957,0.186794,0.0435389,0,0.000201461,0,0,0.999799,0.0526513,0.947223,0.000125854,0.999999,0.999999,0,1,1,1,0.999799,0.000125854,0.811393,0.145068,-0,-0,-97.1613,-90,7.06015,7.2,
258217000,19135.7,3375,5.06145,5.2,2280,0.940895,0,0,0.965517,0.000669436,0.03047,0.0175905,0.990672,0,0.00150486,0,0.998495,0,0.0301865,0.963952,0.00586189,1,1,0,1,1,1,0.998495,0.968472,0,0.00434532,-0.00498284,-0,-79.7427,-80,5.78693,5.76,
258265000,20163.3,6949.3,4.13294,6.2,2280,0.978107,0,0,0.81078,0.000208712,0.87421,0.181326,0.0711496,0,0.000207965,0,0,0.999792,0.0567855,0.943122,9.20749e-05,1,0.999962,0,1,1,1,0.999792,9.20749e-05,0.840615,0.0882355,-0,-0,-97.0076,-90,7.06802,7.2,
258217000,19257.1,3259.44,5.48208,5.5,2340,0.435463,0,0,0.0124356,0.0244094,0.51022,1,0,0,0.0268765,0,0.973123,0,0.440258,0.506298,0.0534435,1,1,0,1,1,1,0.973123,0.53674,0,1,-0.0104357,-0,-79.7457,-70,6.16073,5.76,
258265000,20050,6798.15,4.08407,5.9,2340,0.981171,0,0,0.808992,0.000212341,0.87466,0.183104,0.0725422,0,9.82925e-05,0,0,0.999902,0.0506275,0.949237,0.000135508,1,0.999943,0,1,1,1,0.999902,0.000135508,0.838848,0.0886096,-0,-0,-97.0897,-90,7.06637,7.2,
258217000,19378.7,3130.57,5.48382,5.5,2400,0.0213654,0,0,0.0225727,0.0222227,0.956062,1,0,0,0.0423577,0,0.957642,0,0.0396389,0.958686,0.00167554,0.999588,1,0,1,1,1,0.957642,0.922192,0,1,-0.0669473,-0,-70.8736,-70,6.61358,6.48,
258265000,19939.3,6653.03,4.0544,5.5,2400,0.978343,0,0,0.809252,0.000207124,0.876154,0.18284,0.0544046,0,0.00020364,0,0,0.999796,0.0523088,0.947498,0.000192946,0.999997,1,0,1,1,1,0.999796,0.000192946,0.839954,0.089515,-0.334038,-0,-96.9699,-90,7.06607,7.2,
